주문일시,강원도,경기도,경상남도,경상북도,광주광역시,대구광역시,대전광역시,부산광역시,서울특별시,세종특별자치시,인천광역시,전라남도,전라북도,제주특별자치도,충청남도,충청북도,
2019-12-14,구름,맑음,구름,구름,구름,구름,구름,맑음,구름,비,구름,구름,구름,구름,구름,구름,구름
2019-12-15,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,맑음,구름
2019-12-16,구름,구름,구름,구름,구름,구름,맑음,구름,구름,구름,구름,구름,맑음,구름,구름,구름,구름
2019-12-17,흐림,구름,구름,구름,흐림,구름,흐림,구름,흐림,비,구름,구름,흐림,흐림,흐림,구름,흐림
2019-12-18,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,흐림,구름,구름
2019-12-19,맑음,구름,구름,구름,구름,구름,맑음,구름,맑음,구름,구름,구름,구름,맑음,흐림,구름,맑음
2019-12-20,맑음,구름,구름,구름,구름,구름,구름,구름,맑음,비,구름,맑음,구름,구름,구름,구름,구름
2019-12-21,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,흐림,구름,구름
2019-12-22,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름
2019-12-23,구름,구름,맑음,맑음,구름,구름,구름,맑음,구름,비,맑음,구름,구름,구름,구름,구름,구름
2019-12-24,맑음,맑음,구름,구름,구름,구름,구름,구름,맑음,구름,구름,맑음,구름,구름,구름,구름,구름
2019-12-25,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름
2019-12-26,흐림,구름,흐림,흐림,흐림,흐림,흐림,구름,구름,비,구름,구름,흐림,흐림,흐림,구름,흐림
2019-12-27,맑음,맑음,맑음,맑음,구름,맑음,맑음,맑음,맑음,구름,맑음,맑음,맑음,맑음,흐림,맑음,맑음
2019-12-28,구름,맑음,맑음,맑음,맑음,맑음,맑음,맑음,구름,구름,맑음,구름,맑음,맑음,구름,맑음,맑음
2019-12-29,구름,흐림,흐림,흐림,흐림,흐림,흐림,흐림,흐림,비,흐림,흐림,흐림,흐림,흐림,흐림,흐림
2019-12-30,구름,구름,구름,구름,흐림,구름,흐림,구름,구름,비,구름,구름,구름,흐림,흐림,흐림,구름
2019-12-31,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,구름,맑음,맑음,맑음,맑음,흐림,맑음,맑음
,,,,,,,,,,,,,,,,,
2020-01-01,맑음,눈,맑음,맑음,구름,구름,눈,맑음,눈,구름,눈,맑음,구름,흐림,눈,눈,
2020-01-02,맑음,구름,맑음,구름,맑음,구름,구름,맑음,구름,구름,구름,맑음,구름,구름,비,흐림,
2020-01-03,맑음,맑음,맑음,구름,맑음,맑음,맑음,맑음,맑음,구름,맑음,맑음,구름,구름,구름,맑음,
2020-01-04,맑음,구름,구름,구름,맑음,맑음,구름,구름,맑음,구름,맑음,맑음,구름,맑음,맑음,맑음,
2020-01-05,맑음,구름,맑음,맑음,구름,구름,비,맑음,구름,구름,구름,구름,구름,구름,구름,구름,
2020-01-06,비,비,비,비,비,비,비,비,비,비,비,비,비,비,비,비,
2020-01-07,비,비,비,비,비,비,비,비,비,비,비,비,비,비,비,비,
2020-01-08,비,비,비,비,비,비,구름,비,비,비,비,비,비,비,비,비,
2020-01-09,맑음,맑음,구름,구름,구름,구름,구름,구름,맑음,구름,맑음,구름,구름,흐림,구름,구름,
2020-01-10,구름,맑음,구름,구름,구름,구름,구름,맑음,구름,구름,구름,구름,구름,구름,구름,구름,
2020-01-11,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,흐림,구름,구름,
2020-01-12,눈,구름,구름,구름,구름,맑음,눈,눈,구름,구름,구름,구름,흐림,비,구름,구름,
2020-01-13,맑음,구름,구름,맑음,구름,구름,구름,맑음,맑음,구름,맑음,구름,눈,비,눈,눈,
2020-01-14,맑음,맑음,구름,구름,눈,구름,맑음,구름,맑음,구름,맑음,눈,눈,비,눈,구름,
2020-01-15,맑음,맑음,맑음,맑음,구름,맑음,구름,맑음,맑음,구름,맑음,구름,구름,비,맑음,맑음,
2020-01-16,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,흐림,구름,흐림,구름,구름,
2020-01-17,비,구름,구름,눈,구름,구름,맑음,구름,구름,구름,구름,구름,맑음,구름,구름,구름,
2020-01-18,비,맑음,비,눈,맑음,구름,구름,비,맑음,구름,맑음,맑음,비,구름,맑음,맑음,
